classifier,Recall,f1,Accuracy
DecisionTree,0.3698357049563484,0.4514559033313754,0.7313690439499476
Naive Bayes,0.2548979170963085,0.37587430309173847,0.7469847336086626
KNeighbours,0.42056781466969134,0.4792792792792793,0.7268487127329512
SVM,0.2894067505327559,0.41724479682854315,0.7583677494914627
LogisticRegression,0.3010930088678078,0.4246449173493626,0.7561281308430418
XGB,0.33491441534336974,0.45173852573018075,0.7570116501263638
CatBoost,0.3331271052450677,0.45007894492430583,0.7566828987651277
