,name,address,bedroom,bathroom,area,price/m2,price,description,link
5052,TKI 3,"TKI 3 blok D, Margaasih, Bandung, Jawa Barat",3,2,120 m²,Rp 9.803.922 per m²,"Rp 1,5 M",,https://www.rumah.com/listing-properti/dijual-tki-3-oleh-cindy-christian-17370505
5053,Rumah,"Jl renggong manis, Turangga, Bandung, Jawa Barat",7,3,320 m²,Rp 15.533.981 per m²,"Rp 3,2 M",,https://www.rumah.com/listing-properti/dijual-rumah-oleh-cindy-christian-17370445
5054,Kavzul Jelekong,"Jl.raya terusan laswi jelekong, Bandung Selatan, Bandung, Jawa Barat",2,1,45 m²,Rp 1.714.286 per m²,Rp 120 jt,,https://www.rumah.com/listing-properti/dijual-kavzul-jelekong-oleh-toni-atmaja-17005084
5055,Bumi Cijati Asri,"Jl.TPA Cangkring Baleendah, Buahbatu, Bandung, Jawa Barat",2,1,36 m²,Rp 4.800.000 per m²,Rp 288 jt,,https://www.rumah.com/listing-properti/dijual-bumi-cijati-asri-oleh-ence-gunawan-17235809
5056,Jatihandap House,"Jl.jatihandap Bandung, Cimenyan, Bandung, Jawa Barat",2,1,36 m²,Rp 6.031.746 per m²,Rp 380 jt,,https://www.rumah.com/listing-properti/dijual-jatihandap-house-oleh-ence-gunawan-17288175
5057,turun harga di kawasan elit sentra duta,"jln sentra duta bandung, Setra Duta, Bandung, Jawa Barat",1,1,112 m²,Rp 12.727.273 per m²,"Rp 1,4 M",,https://www.rumah.com/listing-properti/dijual-turun-harga-di-kawasan-elit-sentra-duta-oleh-ali-17370278
5058,rumah baru siap huni di cisaranteu kulon,"jln permata permai, Arcamanik, Bandung, Jawa Barat",3,2,89 m²,Rp 8.055.556 per m²,Rp 725 jt,,https://www.rumah.com/listing-properti/dijual-rumah-baru-siap-huni-di-cisaranteu-kulon-oleh-ali-17370258
5059,"211. REKOMENDED RUMAH LUX DI CITRA GREEN DAGO, BANDUNG","Citra Green Dago, Dago, Bandung, Jawa Barat",7,7,1300 m²,Rp 10.473.588 per m²,"Rp 11,5 M",,https://www.rumah.com/listing-properti/dijual-211-rekomended-rumah-lux-di-citra-green-dago-bandung-oleh-ragil-17349675
5060,"199. REKOMENDED RUMAH SIAP HUNI DI GEGERKALONG PERMAI, SUKAJADI BANDUNG","Gegerkalong Permai, Sukajadi, Bandung, Jawa Barat",5,5,487 m²,Rp 7.470.120 per m²,"Rp 3,75 M",,https://www.rumah.com/listing-properti/dijual-199-rekomended-rumah-siap-huni-di-gegerkalong-permai-sukajadi-bandung-oleh-ragil-17144284
5061,"186. RUMAH MINIMALIS 2 LANTAI DI TKI 1, KOPO BANDUNG","Taman Kopo Indah, Taman Kopo Indah, Bandung, Jawa Barat",5,3,400 m²,Rp 10.917.031 per m²,"Rp 2,5 M",,https://www.rumah.com/listing-properti/dijual-186-rumah-minimalis-2-lantai-di-tki-1-kopo-bandung-oleh-ragil-17117277
