,name,address,bedroom,bathroom,area,price/m2,price,description,link
0,Sariwangi,"Sariwangi, Bandung Utara, Bandung, Jawa Barat",2,2,79 m²,Rp 10.696.203 per m²,Rp 845 jt,"""Rumah Baru minimalis sariwangi 800 jt an gerlong setiabudi""",https://www.rumah.com/listing-properti/dijual-sariwangi-oleh-fonna-sylviana-17420256
1,GRAHA AURA KIARASARI,"jl Kiarasari raya permai buahbatu bandung, Kiaracondong, Bandung, Jawa Barat",2,2,50 m²,Rp 14.132.075 per m²,Rp 749 jt,"""Rumah murah di buahbatu banyak bonus dan Diskon""",https://www.rumah.com/listing-properti/dijual-graha-aura-kiarasari-oleh-triana-17395506
2,Puri Dago,"Jl. Jakarta, Antapani, Bandung, Antapani, Bandung, Jawa Barat",2,2,55 m²,Rp 11.090.909 per m²,"Rp 1,098 M","""Dijual Rumah Siap Huni Puri Dago Antapani Arcamanik Cluster Kembar Mas""",https://www.rumah.com/listing-properti/dijual-puri-dago-oleh-yudi-suhara-17432479
3,GRAHA AURA KIARASARI,"JL KIARASARI RAYA BUAHBATU, Bandung Timur, Bandung, Jawa Barat",2,2,50 m²,Rp 13.188.679 per m²,Rp 699 jt,"""Dijual Rumah 2 lantai di Buahbatu harga 699 jt all in""",https://www.rumah.com/listing-properti/dijual-graha-aura-kiarasari-oleh-yudha-17398254
4,aster village ciwastra,"jln.ranca orai, Buahbatu, Bandung, Jawa Barat",2,2,50 m²,Rp 7.116.667 per m²,Rp 427 jt,"""Rumah syari'ah di buahbatu dan ciwastra""",https://www.rumah.com/listing-properti/dijual-aster-village-ciwastra-oleh-edi-hendriyanto-16429517
5,"Jalan Sukajadi, Manggahang Jelekong","Jalan Sukajadi, Manggahang Jelekong, Baleendah, Bandung, Jawa Barat",2,1,45 m²,Rp 1.714.286 per m²,Rp 120 jt,"""Jual Rumah dan Tanah Murah minimalis Bagus Baleendah bandung selatan""",https://www.rumah.com/listing-properti/dijual-jalan-sukajadi-manggahang-jelekong-oleh-arya-surya-kusumah-17438106
6,Rumah SIAP HUNI Harga ISTIMEWA Dekat UPI Cibiru dan Tol Cileunyi,"Cibiru Hilir, Cibiru, Bandung, Jawa Barat",2,1,45 m²,Rp 6.676.923 per m²,Rp 434 jt,"""Rumah murah dekat bunderan Cibiru, 15 menit ke tol Cileunyi""",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-harga-istimewa-dekat-upi-cibiru-dan-tol-cileunyi-oleh-reza-aggregate-m-y-i-16435493
7,Kawasan Perumahan Cigadung,"Cigadung, Bandung, Jawa Barat",3,1,100 m²,Rp 9.000.000 per m²,"Rp 1,35 M","""Lokasi Mainroad Bisa Untuk Kantor dan Usaha""",https://www.rumah.com/listing-properti/dijual-kawasan-perumahan-cigadung-oleh-new-firman-15578387
8,Rumah Bagus 2lt di Ciganitri dekat Universitas Telkom Buahbatu Bandung,"bojongsoang, Bojongsoang, Bandung, Jawa Barat",5,3,180 m²,Rp 8.564.286 per m²,"Rp 1,199 M","""Rumah Bagus 2lt di Ciganitri dekat Universitas Telkom Buahbatu Bandung""",https://www.rumah.com/listing-properti/dijual-rumah-bagus-2lt-di-ciganitri-dekat-universitas-telkom-buahbatu-bandung-oleh-dewi-yani-17167876
9,Margahayu,"Margahayu, Margahayu, Bandung, Jawa Barat",3,2,80 m²,Rp 10.595.238 per m²,Rp 890 jt,"""Rumah Baru 2lt Nan nyaman di Margahayu Bandung""",https://www.rumah.com/listing-properti/dijual-margahayu-oleh-dewi-yani-16887735
10,Termurah Rumah Baru Taman Cibaduyut Indah tci 3 Type 36,"Bojongloa Kidul, Bandung, Jawa Barat",2,1,36 m²,Rp 6.099.306 per m²,"Rp 439,15 jt","""Rumah Baru Taman Cibaduyut Indah tci 3 Type 36""",https://www.rumah.com/listing-properti/dijual-termurah-rumah-baru-taman-cibaduyut-indah-tci-3-type-36-oleh-david-sudjono-15780224
11,Rumah 400 Jutaan 2 Lt Harga 1 Lantai di Setiabudi Bandung Area Wisata dan Kuliner,"setiabudi, Setiabudi, Bandung, Jawa Barat",3,2,60 m²,Rp 8.309.091 per m²,Rp 457 jt,"""Rumah Milenial Harga Terjangkau Lokasi Belakang Setiabudi Kota Bandung""",https://www.rumah.com/listing-properti/dijual-rumah-400-jutaan-2-lt-harga-1-lantai-di-setiabudi-bandung-area-wisata-dan-kuliner-oleh-nabila-intan-nur-ardiyanti-17396196
12,Tki 3 rumah baru 2 lantai,"Taman Kopo Indah, Bandung, Jawa Barat",5,4,300 m²,Rp 12.903.226 per m²,"Rp 2,8 M","""Tki 3 rumah baru 2 lantai""",https://www.rumah.com/listing-properti/dijual-tki-3-rumah-baru-2-lantai-oleh-adityo-febrianto-17046572
13,Rumah lux di kawasan batununggal indah,"Rumah lux di kawasan batununggal indah, Batununggal, Bandung, Jawa Barat",5,6,500 m²,,,,https://www.rumah.com/listing-properti/dijual-rumah-lux-di-kawasan-batununggal-indah-oleh-adityo-febrianto-17186448
14,,,,,,,,,https://www.rumah.com/listing-properti/dijual-rumah-tinggal-oleh-mumu-romansyah-16751194
15,,,3,1,80 m²,Rp 5.500.000 per m²,Rp 550 jt,"""Dijual Termurah Rumah baru cisaranten siap huni""",https://www.rumah.com/listing-properti/dijual-rumah-tinggal-oleh-mumu-romansyah-16698178
16,rumah tinggal,"jln ciwaruga bandung, Geger Kalong, Bandung, Jawa Barat",4,3,170 m²,Rp 9.851.485 per m²,Rp 995 jt,"""Dijual Rumah lux ciwaruga gegerkalong bandung siap huni""",https://www.rumah.com/listing-properti/dijual-rumah-tinggal-oleh-mumu-romansyah-17368487
17,Rumah Tinggal,"Jalan Taruna Raya, Ujung Berung, Bandung, Jawa Barat",2,1,40 m²,Rp 6.250.000 per m²,Rp 375 jt,"""Dijual Rumah baru ujung berung siap huni""",https://www.rumah.com/listing-properti/dijual-rumah-tinggal-oleh-mumu-romansyah-16744538
18,Cikutra Cigadung Bandung,"Cikutra Cigadung Bandung, Dago, Bandung, Jawa Barat",2,2,64 m²,Rp 11.686.389 per m²,"Rp 841,42 jt","""Rumah Mewah 2 Lantai Harga Perdana 800 Jtan di Cikutra Cigadung Dago""",https://www.rumah.com/listing-properti/dijual-cikutra-cigadung-bandung-oleh-tita-17360615
19,Jual rumah di cibaduyut bandung,"Cibaduyut cangkuang, Cibaduyut, Bandung, Jawa Barat",2,1,36 m²,Rp 4.166.667 per m²,Rp 250 jt,"""Jual rumah di cibaduyut area bandung""",https://www.rumah.com/listing-properti/dijual-jual-rumah-di-cibaduyut-bandung-oleh-ahmad-yaman-17437131
20,RUMAH BARU HARGA WAJAR DI CIBIRU DEKAT UPI,"Cibiru, Bandung, Jawa Barat",3,3,126 m²,Rp 8.928.571 per m²,Rp 875 jt,"""Rumah baru harga wajar di cibiru dekat upi""",https://www.rumah.com/listing-properti/dijual-rumah-baru-harga-wajar-di-cibiru-dekat-upi-oleh-aher-16954379
21,Rumah sangat murah di arcamanik dekat Antapani,"Arcamanik, Bandung, Jawa Barat",6,2,200 m²,Rp 5.357.143 per m²,Rp 750 jt,"""Rumah sangat murah di arcamanik dekat antapani""",https://www.rumah.com/listing-properti/dijual-rumah-sangat-murah-di-arcamanik-dekat-antapani-oleh-aher-17368716
22,Cluster 2Lt di Cikutra 15 Menit Ke Dago,"Cikutra Bandung Utara, Dago, Bandung, Jawa Barat",2,2,64 m²,Rp 10.743.902 per m²,Rp 881 jt,"""Cluster Strategis Nuansa Villa di Cikutra Bandung Utara""",https://www.rumah.com/listing-properti/dijual-cluster-2lt-di-cikutra-15-menit-ke-dago-oleh-adang-17316328
23,BEST SELLER! Nuansa Villa di Arcamanik atas Sindanglaya,"Arcamanik atas Sindanglaya dekat Secaba, Arcamanik, Bandung, Jawa Barat",2,1,42 m²,Rp 6.080.357 per m²,Rp 681 jt,"""Hunian Asri Serasa Villa di Arcamanik atas Sindanglaya, Udara Segar""",https://www.rumah.com/listing-properti/dijual-best-seller-nuansa-villa-di-arcamanik-atas-sindanglaya-oleh-adang-17102250
24,SUKASARI REGENCY CIPARAY,"Jalan Raya Laswi, Ciparay, Bandung, Jawa Barat",2,1,36 m²,Rp 5.486.111 per m²,Rp 395 jt,"""Rumah dan kavling siap bangun Ciparay Sukasari Regency Dekat Alun-Alun""",https://www.rumah.com/listing-properti/dijual-sukasari-regency-ciparay-oleh-novita-herlina-16387997
25,Bumi Cangkuang residence 4,"Lokasi bumi Cangkuang residence 4, Cangkuang, Bandung, Jawa Barat",2,1,36 m²,Rp 3.472.222 per m²,Rp 250 jt,"""Pemasaran bumi Cangkuang residence 4""",https://www.rumah.com/listing-properti/dijual-bumi-cangkuang-residence-4-oleh-ahmad-yaman-17436372
26,Villa tropis Dago,"Bojong koneng, Cibeunying Kidul, Bandung, Jawa Barat",3,2,80 m²,Rp 13.223.140 per m²,"Rp 1,6 M","""Villa tropis Dago, lokasi strategis view eksotis di Bojong koneng""",https://www.rumah.com/listing-properti/dijual-villa-tropis-dago-oleh-dwi-ningsih-17425006
27,Cluster Cantik 2Lt di Cihanjuang Bandung Utara,"Cihanjuang dekat Gegerkalong Lembang Setiabudi, Geger Kalong, Bandung, Jawa Barat",2,2,50 m²,Rp 9.916.667 per m²,Rp 595 jt,"""Cluster Cantik Nuansa Villa, Sejuk Segar Berkabut""",https://www.rumah.com/listing-properti/dijual-cluster-cantik-2lt-di-cihanjuang-bandung-utara-oleh-adang-17243967
28,Rumah Mewah 2 Lt di Sokarno Hatta Bandung,"jl. Cipamokolan Bandung, Soekarno Hatta, Bandung, Jawa Barat",3,2,94 m²,Rp 11.904.762 per m²,Rp 1 M,"""Rumah Mewah Modern 2 Lt di Sukarno Hatta Bandung""",https://www.rumah.com/listing-properti/dijual-rumah-mewah-2-lt-di-sokarno-hatta-bandung-oleh-helmi-andriani-17430284
29,Jual rumah mewah dekat Cibaduyut,"Cibaduyut selatan Bandung, Cibaduyut, Bandung, Jawa Barat",2,1,36 m²,Rp 4.166.667 per m²,Rp 250 jt,"""Jual rumah mewah dekat Cibaduyut Bandung""",https://www.rumah.com/listing-properti/dijual-jual-rumah-mewah-dekat-cibaduyut-oleh-ahmad-yaman-17436000
30,"BEST SELLER! Villa Sejuk View Sunset di Jatinangor, One Gate System","Jatinangor Dekat Kampus Itb Unpad Ipdn, Buahbatu, Bandung, Jawa Barat",2,2,50 m²,Rp 4.958.333 per m²,Rp 595 jt,"""Hunian Sejuk Nuansa Villa 2 Lt View Cantik""",https://www.rumah.com/listing-properti/dijual-best-seller-villa-sejuk-view-sunset-di-jatinangor-one-gate-system-oleh-adang-17367811
31,"HEBOH! Hunian Asri di Cinunuk, Bebas banjir One Gate System","Cinunuk Bandung Timur Exit Tol Cileunyi, Bandung Timur, Bandung, Jawa Barat",2,1,30 m²,Rp 6.416.667 per m²,Rp 385 jt,"""Murah Dp 0%, Hunian Asri Di Cinunuk Bandung Timur""",https://www.rumah.com/listing-properti/dijual-heboh-hunian-asri-di-cinunuk-bebas-banjir-one-gate-system-oleh-adang-17419841
32,BEST SELLER! Asri dan Sejuk di Arcamanik atas Sindanglaya,"Arcamanik atas Sindanglaya Bandung Utara, Antapani, Bandung, Jawa Barat",2,1,42 m²,Rp 6.080.357 per m²,Rp 681 jt,"""Jarang Ada! Hunian Asri dan Sejuk Nuansa Villa""",https://www.rumah.com/listing-properti/dijual-best-seller-asri-dan-sejuk-di-arcamanik-atas-sindanglaya-oleh-adang-16661184
33,HOT SALE! !! ! Rumah setraduta,"setraduta, Setra Duta, Bandung, Jawa Barat",8,5,750 m²,Rp 20.769.231 per m²,"Rp 13,5 M","""Rumah exclusive di Bandung Utara""",https://www.rumah.com/listing-properti/dijual-hot-sale-rumah-setraduta-oleh-ella-17372587
34,Rumah 2 lantai harga 1 lantai di savana village soreang,"sindang wangi, soreang, Soreang, Bandung, Jawa Barat",2,2,50 m²,Rp 5.950.000 per m²,Rp 357 jt,"""Rumah 2 lantai harga 1 lantai Savana Village Promo juni full furnish""",https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-harga-1-lantai-di-savana-village-soreang-oleh-zainal-kamal-17299000
35,Rumah cantik minimalis siap huni di Bumi Adipura Gedebage Bandung,"Bumi Adipura Bandung, Gedebage, Bandung, Jawa Barat",2,1,45 m²,Rp 5.916.667 per m²,Rp 355 jt,"""Rumah cantik minimalis siap huni di Bumi Adipura Gedebage Bandung""",https://www.rumah.com/listing-properti/dijual-rumah-cantik-minimalis-siap-huni-di-bumi-adipura-gedebage-bandung-oleh-wulan-17131573
36,Hunian baru harga 510 juta sudah all in di Arcamanik Bandung,"Arcamanik Bandung, Arcamanik, Bandung, Jawa Barat",2,2,55 m²,Rp 6.000.000 per m²,Rp 510 jt,"""Hunian baru harga 510 juta sudah all in di Arcamanik Bandung""",https://www.rumah.com/listing-properti/dijual-hunian-baru-harga-510-juta-sudah-all-in-di-arcamanik-bandung-oleh-wulan-17103239
37,Hunian kokoh strategis di area Ciwastra Bandung Timur,"Ciwastra, Ciwastra, Bandung, Jawa Barat",3,2,95 m²,Rp 85.714.286 per m²,"Rp 5,999999999 M","""Hunian kokoh strategis harga 599 jt di Ciwastra Bandung Timur""",https://www.rumah.com/listing-properti/dijual-hunian-kokoh-strategis-di-area-ciwastra-bandung-timur-oleh-wulan-17435311
38,rumah kopo 2 lantai,"Permata kopo, Kopo, Bandung, Jawa Barat",3,2,220 m²,Rp 10.714.286 per m²,"Rp 1,5 M","""Dekat dengan fasilitas umum lingkungan aman dan nyaman""",https://www.rumah.com/listing-properti/dijual-rumah-kopo-2-lantai-oleh-kaka-hadi-17287991
39,Cluster jatihandap asri padasuka bandung,"Jatihandap padasuka, Bandung Utara, Bandung, Jawa Barat",2,1,36 m²,Rp 3.472.222 per m²,Rp 250 jt,"""Jual rumah di padasuka jatihandap bandung""",https://www.rumah.com/listing-properti/dijual-cluster-jatihandap-asri-padasuka-bandung-oleh-ahmad-yaman-17434878
40,Batununggal Indah Cluster Permai,"Jl. Soekarno Hatta, Dayeuh Kolot, Bandung, Dayeuhkolot, Bandung, Jawa Barat",4,2,130 m²,Rp 13.586.957 per m²,"Rp 2,5 M","""Rumah batununggal 1 lantai""",https://www.rumah.com/listing-properti/dijual-batununggal-indah-cluster-permai-oleh-kaka-hadi-17427435
41,Villa cileunyi asri cikalang,"Cileunyi bandung timur, Bandung Timur, Bandung, Jawa Barat",2,1,30 m²,Rp 6.416.667 per m²,Rp 385 jt,"""Jual rumah mewah murah di cileunyi cibiru bandung timur""",https://www.rumah.com/listing-properti/dijual-villa-cileunyi-asri-cikalang-oleh-ahmad-yaman-17396504
42,Taman cibaduyut cangkuang residence,"Terusan jl leuwi panjang cibaduyut, Astanaanyar, Bandung, Jawa Barat",2,1,45 m²,Rp 4.171.014 per m²,"Rp 300,313 jt","""Cluster mewah murah bandung dekat astana anyar tegal lega""",https://www.rumah.com/listing-properti/dijual-taman-cibaduyut-cangkuang-residence-oleh-ahmad-yaman-17396122
43,Taman dago cikutra,"Dago cikutra antapani, Bandung Utara, Bandung, Jawa Barat",3,2,80 m²,Rp 12.830.579 per m²,"Rp 1,5525 M","""Jual rumah mewah dago 664 jt an promo cluster Mewah murah dekat kota""",https://www.rumah.com/listing-properti/dijual-taman-dago-cikutra-oleh-ahmad-yaman-17395617
44,Villa cileunyi asri,"Cibiru cileunyi bandung, Bandung Timur, Bandung, Jawa Barat",2,1,36 m²,Rp 6.583.333 per m²,Rp 395 jt,"""Cluster mewah murah dekat tol cileunyi""",https://www.rumah.com/listing-properti/dijual-villa-cileunyi-asri-oleh-ahmad-yaman-17396603
45,Rumah siap huni dekat tol buah batu,"Buah batu Selatan, Batununggal, Bandung, Jawa Barat",1,1,40 m²,Rp 7.500.000 per m²,Rp 495 jt,"""Rumah mewah murah dekat dekat tol buah batu puri asri ciganitri""",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-dekat-tol-buah-batu-oleh-ahmad-yaman-17397751
46,Hunian Asri 2Lt Nuansa Villa di Jatinangor Kaw Kampus Itb Unpad,"Jatinangor dekat Itb Unpad Ipdn, Arcamanik, Bandung, Jawa Barat",2,2,50 m²,Rp 4.958.333 per m²,Rp 595 jt,"""Nuansa Villa 2lt Udara Sejuk View Sunset Bagus""",https://www.rumah.com/listing-properti/dijual-hunian-asri-2lt-nuansa-villa-di-jatinangor-kaw-kampus-itb-unpad-oleh-adang-17366227
47,Villa cileunyi asri,"Cibiru cileunyi, Cibiru, Bandung, Jawa Barat",Kamar,0,30 m²,Rp 6.416.667 per m²,Rp 385 jt,"""Rumah mewah murah dekat kampus uin bandung""",https://www.rumah.com/listing-properti/dijual-villa-cileunyi-asri-oleh-ahmad-yaman-17394630
48,Rumah dekat tol Pasteur dekat bandara Husein Sastranegara Bandung,"Pasteur barat, Buahbatu, Bandung, Jawa Barat",2,2,90 m²,Rp 12.500.000 per m²,Rp 750 jt,"""Rumah mewah dekat bandara Husein Sastranegara dekat Pasteur Bandung""",https://www.rumah.com/listing-properti/dijual-rumah-dekat-tol-pasteur-dekat-bandara-husein-sastranegara-bandung-oleh-ahmad-yaman-17407244
49,Cluster niaga cipanjalu Ahmad land,"Cigending Cilengkrang, Arcamanik, Bandung, Jawa Barat",2,1,36 m²,Rp 4.600.000 per m²,Rp 230 jt,"""Cluster mewah murah dekat pasar ujung Berung""",https://www.rumah.com/listing-properti/dijual-cluster-niaga-cipanjalu-ahmad-land-oleh-ahmad-yaman-17410011
50,Pesona Riung melati,"Riung Bandung Margahayu raya, Antapani, Bandung, Jawa Barat",2,2,100 m²,Rp 8.257.576 per m²,Rp 545 jt,"""Rumah mewah murah Bandung dekat Margahayu raya""",https://www.rumah.com/listing-properti/dijual-pesona-riung-melati-oleh-ahmad-yaman-17404283
51,Rumah 2 Lantai Komplek Palem Permai Bandung,"Buahbatu, Bandung, Jawa Barat",4,2,200 m²,Rp 12.500.000 per m²,"Rp 1,8 M","""Rumah 2 Lantai Komplek Palem Permai Bandung""",https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-komplek-palem-permai-bandung-oleh-umar-rekananda-16849423
52,Perumahan Bumi Pratama Asri Cimekar Bandung Timur,"Cimekar, Bandung Timur, Bandung, Jawa Barat",2,1,30 m²,Rp 6.416.667 per m²,Rp 385 jt,"""Perumahan Bumi Pratama Asri Cimekar Bandung Timur""",https://www.rumah.com/listing-properti/dijual-perumahan-bumi-pratama-asri-cimekar-bandung-timur-oleh-umar-rekananda-16942608
53,Turangga Buahbatu Bandung pusat,"Turangga, Turangga, Bandung, Jawa Barat",3,2,140 m²,Rp 16.666.667 per m²,Rp 2 M,"""Turangga Buahbatu Bandung pusat""",https://www.rumah.com/listing-properti/dijual-turangga-buahbatu-bandung-pusat-oleh-guntur-ramadhan-17079567
54,Jl. Gitar Raya Turangga Buahbatu,"Jl.Gitar Raya Turangga Buahbatu, Turangga, Bandung, Jawa Barat",5,4,150 m²,Rp 18.456.376 per m²,"Rp 2,75 M","""Jl.Gitar Raya Turangga Buahbatu""",https://www.rumah.com/listing-properti/dijual-jl-gitar-raya-turangga-buahbatu-oleh-guntur-ramadhan-16692025
55,puri suwarna regency,"Jl. Ciganitri, Bojongsoang, Bandung, Bojongsoang, Bandung, Jawa Barat",2,1,33 m²,Rp 6.875.000 per m²,Rp 440 jt,"""Rumah nyaman untuk keluarga 20 Juta all in di bojongsoang bandung""",https://www.rumah.com/listing-properti/dijual-puri-suwarna-regency-oleh-galih-sopyan-16662900
56,Bumi Cikoneng Indah,"Jl. Cikoneng, Bojongsoang, Bandung, Bojongsoang, Bandung, Jawa Barat",2,1,42 m²,Rp 6.805.556 per m²,Rp 490 jt,"""Dijual rumah murah 20 Juta di bojongsoang bandung""",https://www.rumah.com/listing-properti/dijual-bumi-cikoneng-indah-oleh-galih-sopyan-16662919
57,puri suwarna regency,"Jl. Tirtawangi,Ciganitri,Kec. Bojongsoang, Bandung, Bojongsoang, Bandung, Jawa Barat",2,1,33 m²,Rp 6.875.000 per m²,Rp 440 jt,"""Rumah murah di bandung puri suwarna regency""",https://www.rumah.com/listing-properti/dijual-puri-suwarna-regency-oleh-galih-sopyan-17074237
58,bumi cikoneng indah,"Jl. Cikoneng, Kec. Bojongsoang, Bandung, Bojongsoang, Bandung, Jawa Barat",2,1,42 m²,Rp 6.805.556 per m²,Rp 490 jt,"""Jual rumah bandung murah""",https://www.rumah.com/listing-properti/dijual-bumi-cikoneng-indah-oleh-galih-sopyan-17074104
59,Bumi Cikoneng Indah,"Jl. Cikoneng, Bojongsoang-Buahbatu, Bandung, Bojongsoang, Bandung, Jawa Barat",3,2,72 m²,Rp 9.523.810 per m²,Rp 800 jt,"""Jual rumah murah 2 lantai 7 menit tol buah batu bandung""",https://www.rumah.com/listing-properti/dijual-bumi-cikoneng-indah-oleh-galih-sopyan-16634482
60,Rumah nyaman hanya dengan 20 Juta di bandung,"Jl. Tirtawangi - Ciganitri, Bojongsoang, Bandung, Bojongsoang, Bandung, Jawa Barat",2,1,64 m²,Rp 13.333.333 per m²,Rp 440 jt,"""Rumah nyaman murah 5 menit transmart buah batu bandung""",https://www.rumah.com/listing-properti/dijual-rumah-nyaman-hanya-dengan-20-juta-di-bandung-oleh-galih-sopyan-17131081
61,Rumah nyaman dan murah di bandung 5 menit ke tranmart buah batu,"Bojongsoang, buah batu, Bojongsoang, Bandung, Jawa Barat",2,1,42 m²,Rp 5.555.556 per m²,Rp 400 jt,"""Rumah nyaman dan murah di bandung 5 menit ke tranmart buah batu""",https://www.rumah.com/listing-properti/dijual-rumah-nyaman-dan-murah-di-bandung-5-menit-ke-tranmart-buah-batu-oleh-galih-sopyan-17131377
62,Rumah murah bandung dp ringan hanya 7 Juta 5 menit ke borma cipadung,"Jl. Ciporeat, pasanggrahan, Kec. Ujungberung, Ujung Berung, Bandung, Jawa Barat",2,1,42 m²,Rp 6.805.556 per m²,Rp 490 jt,"""Rumah murah bandung dp ringan hanya 7 Juta 5 menit ke borma cipadung""",https://www.rumah.com/listing-properti/dijual-rumah-murah-bandung-dp-ringan-hanya-7-juta-5-menit-ke-borma-cipadung-oleh-galih-sopyan-17020510
63,Rumah murah 2 lantai hanya dengan 10Juta 5 menit carrefour kiaracondong,"Jl. Kiara Sari Permai II, Kec. Buahbatu, Bandung Timur, Bandung, Jawa Barat",3,2,73 m²,Rp 13.066.667 per m²,Rp 980 jt,"""Rumah murah di bandung tipe 2 lantai 5 menit carrefour kiaracondong""",https://www.rumah.com/listing-properti/dijual-rumah-murah-2-lantai-hanya-dengan-10juta-5-menit-carrefour-kiaracondong-oleh-galih-sopyan-16953264
64,"Rumah Asri Murah Tanpa Biaya, tinggal Cicil","katapang kopo, Bandung Selatan, Bandung, Jawa Barat",2,1,40 m²,Rp 5.000.000 per m²,Rp 300 jt,"""Rumah Murah tanpa biaya bonus canopy di bandung Selatan""",https://www.rumah.com/listing-properti/dijual-rumah-asri-murah-tanpa-biaya-tinggal-cicil-oleh-cepi-sofyana-17313009
65,Rumah Murah Nol DP dan Free biaya KPR,"Bandung Selatan, Bandung, Jawa Barat",2,1,36 m²,Rp 3.235.294 per m²,Rp 220 jt,"""Dijual Rumah Di Paledang Katapang Bandung No DP dan Free biaya KPR""",https://www.rumah.com/listing-properti/dijual-rumah-murah-nol-dp-dan-free-biaya-kpr-oleh-m-fauzi-sp-17354236
66,"BEST SELLER! Hunian Mewah di Arcamanik, One Gate System","Strategis Main Road Jalur angkot Jurusan Dago, Antapani, Bandung, Jawa Barat",4,3,108 m²,Rp 11.111.111 per m²,"Rp 1,4 M","""Hunian Asri di Arcamanik, Ready Stock Lokasi Strategis, One Gate Syst""",https://www.rumah.com/listing-properti/dijual-best-seller-hunian-mewah-di-arcamanik-one-gate-system-oleh-adang-15971187
67,RUMAH MINIMALIS BARU CIKAJANG ANTAPANI,"Cikajang, Antapani, Bandung, Jawa Barat",4,3,110 m²,Rp 11.875.000 per m²,Rp 950 jt,"""Rumah baru minimalis Antapani""",https://www.rumah.com/listing-properti/dijual-rumah-minimalis-baru-cikajang-antapani-oleh-m-taofik-ramadani-16930014
68,Rumah Minimalis Turangga,"Hasan saputra, Turangga, Bandung, Jawa Barat",2,2,120 m²,Rp 12.383.178 per m²,"Rp 2,65 M","""Rumah Minimalis 1 lantai Hasan saputra Turangga""",https://www.rumah.com/listing-properti/dijual-rumah-minimalis-turangga-oleh-m-taofik-ramadani-16902680
69,Taman Cibaduyut Indah,"Jl. Raya Cibaduyut, Cibaduyut, Bandung, Bojongloa Kidul, Bandung, Jawa Barat",2,1,77 m²,Rp 7.500.000 per m²,Rp 750 jt,"""Dekat dgn stasiun, mall, sentra sepatu, kuliner dll""",https://www.rumah.com/listing-properti/dijual-taman-cibaduyut-indah-oleh-tjun-tjun-17214483
70,Singgasana Pradana,". Jl. Moh. Toha, Mekar Wangi Bandung, Mekar Wangi, Bandung, Jawa Barat",6,9,1800 m²,Rp 22.851.920 per m²,"Rp 12,5 M","""Dekat tol pusat kuliner sekolah""",https://www.rumah.com/listing-properti/dijual-singgasana-pradana-oleh-tjun-tjun-16217791
71,Istana Mekar Wangi,"Jl Jl. Mekar Sari, Mekarwangi, Bojong Loa Kidul, Mekar Wangi, Bandung, Jawa Barat",2,2,88 m²,Rp 18.235.294 per m²,"Rp 1,24 M","""Dekat tol, area komersial, sekolah, pusat kuliner dll""",https://www.rumah.com/listing-properti/dijual-istana-mekar-wangi-oleh-tjun-tjun-17038033
72,Istana Mekar Wangi,"Jl Jl. Mekar Sari, Mekarwangi, Bojong Loa Kidul, Mekar Wangi, Bandung, Jawa Barat",2,2,75 m²,Rp 20.833.333 per m²,"Rp 1,125 M","""Dekat sekolah, tol, pusat kuliner, area komersial""",https://www.rumah.com/listing-properti/dijual-istana-mekar-wangi-oleh-tjun-tjun-17038111
73,Rumah murah bagus cantik pusat kota sayap BKR Ciateul Bandung,"Samsudin, Regol, Bandung, Jawa Barat",4,4,245 m²,Rp 17.692.308 per m²,"Rp 2,3 M","""Pusat kota, dekat Mall,tol, komersial Area dll""",https://www.rumah.com/listing-properti/dijual-rumah-murah-bagus-cantik-pusat-kota-sayap-bkr-ciateul-bandung-oleh-tjun-tjun-17148593
74,Rumah Baru Murah di Margahayu Raya,"Pluto Utara, Soekarno Hatta, Bandung, Jawa Barat",2,1,45 m²,Rp 7.986.111 per m²,Rp 575 jt,"""Rumah Baru Murah On Progres""",https://www.rumah.com/listing-properti/dijual-rumah-baru-murah-di-margahayu-raya-oleh-d-widiawan-17418886
75,Margahayu Raya,". JL Ciwastra, Margasari, Buah Batu, Ancol, Bandung, Jawa Barat",3,1,60 m²,Rp 7.283.951 per m²,Rp 590 jt,"""Rumah Murah di Margahayu Raya""",https://www.rumah.com/listing-properti/dijual-margahayu-raya-oleh-d-widiawan-16464847
76,Margahayu Raya,". JL Ciwastra, Margasari, Buah Batu, Ancol, Bandung, Jawa Barat",3,2,120 m²,Rp 8.333.333 per m²,"Rp 1,2 M","""Rumah Terawat di Komplek Margahayu Raya""",https://www.rumah.com/listing-properti/dijual-margahayu-raya-oleh-d-widiawan-15664490
77,Rumah Baru di Turangga,"Turangga, Turangga, Bandung, Jawa Barat",3,3,130 m²,Rp 15.674.603 per m²,"Rp 1,975 M","""Rumah Baru Strategis di Turangga""",https://www.rumah.com/listing-properti/dijual-rumah-baru-di-turangga-oleh-d-widiawan-17330527
78,Rumah Baru 2 Lantai di daerah Margahayu Raya,"Cluster di Margahayu Raya, Buahbatu, Bandung, Jawa Barat",3,2,88 m²,Rp 11.010.101 per m²,"Rp 1,09 M","""Rumah Baru 2 Lantai di Margahayu Raya""",https://www.rumah.com/listing-properti/dijual-rumah-baru-2-lantai-di-daerah-margahayu-raya-oleh-d-widiawan-17310212
