iter	Passed	Remaining
399	37001	55501
400	37073	55378
401	37149	55261
402	37221	55140
403	37291	55014
404	37362	54890
405	37438	54775
406	37510	54653
407	37580	54528
408	37654	54409
409	37724	54285
410	37795	54164
411	37878	54059
412	37956	53947
413	38038	53841
414	38111	53723
415	38255	53704
416	38392	53676
417	38547	53670
418	38703	53667
419	38854	53656
420	38979	53608
421	39126	53590
422	39257	53549
423	39365	53477
424	39473	53404
425	39555	53297
426	39645	53201
427	39726	53093
428	39823	53004
429	39930	52930
430	40017	52830
431	40111	52738
432	40195	52634
433	40291	52545
434	40395	52467
435	40491	52378
436	40619	52331
437	40759	52299
438	40874	52233
439	40996	52177
440	41117	52119
441	41222	52041
442	41336	51974
443	41432	51883
444	41530	51795
445	41614	51691
446	41700	51588
447	41781	51480
448	41872	51384
449	41957	51281
450	42047	51183
451	42136	51086
452	42232	50996
453	42322	50898
454	42417	50807
455	42510	50714
456	42618	50638
457	42713	50547
458	42806	50453
459	42905	50367
460	42998	50273
461	43089	50177
462	43181	50083
463	43285	50001
464	43368	49897
465	43455	49796
466	43527	49679
467	43596	49558
468	43669	49442
469	43741	49325
470	43837	49235
471	43955	49170
472	44028	49055
473	44106	48945
474	44184	48835
475	44266	48730
476	44380	48659
477	44513	48610
478	44649	48564
479	44796	48529
480	44934	48483
481	45089	48457
482	45230	48414
483	45335	48332
484	45433	48243
485	45514	48136
486	45588	48022
487	45666	47912
488	45749	47807
489	45845	47716
490	45929	47613
491	46011	47507
492	46095	47404
493	46184	47306
494	46268	47203
495	46342	47089
496	46413	46974
497	46484	46857
498	46561	46748
499	46636	46636
500	46704	46517
501	46780	46408
502	46860	46301
503	46929	46184
504	47015	46084
505	47087	45970
506	47162	45860
507	47234	45746
508	47315	45642
509	47400	45541
510	47476	45432
511	47552	45323
512	47630	45216
513	47704	45105
514	47780	44997
515	47859	44891
516	47944	44791
517	48018	44681
518	48094	44573
519	48172	44466
520	48246	44357
521	48344	44269
522	48423	44164
523	48509	44065
524	48592	43964
525	48679	43867
526	48758	43762
527	48842	43662
528	48929	43564
529	49007	43459
530	49078	43347
531	49156	43243
532	49228	43132
533	49296	43018
534	49372	42912
535	49445	42803
536	49528	42703
537	49598	42592
538	49682	42492
539	49763	42391
540	49842	42288
541	49922	42185
542	49997	42078
543	50081	41980
544	50176	41890
545	50293	41818
546	50447	41777
547	50630	41760
548	50780	41715
549	50924	41665
550	51082	41626
551	51287	41624
552	51422	41565
553	51547	41498
554	51652	41415
555	51730	41309
556	51806	41203
557	51884	41098
558	51967	40997
559	52038	40887
560	52109	40777
561	52179	40666
562	52255	40560
563	52327	40451
564	52418	40357
565	52504	40259
566	52579	40153
567	52656	40048
568	52744	39952
569	52836	39858
570	52912	39753
571	52977	39640
572	53052	39534
573	53127	39428
574	53202	39323
575	53277	39218
576	53359	39118
577	53434	39012
578	53501	38901
579	53579	38798
580	53651	38692
581	53733	38591
582	53804	38484
583	53886	38385
584	53974	38289
585	54050	38185
586	54119	38077
587	54202	37978
588	54316	37901
589	54408	37808
590	54502	37718
591	54594	37625
592	54691	37536
593	54785	37445
594	54885	37358
595	54977	37266
596	55071	37175
597	55155	37077
598	55243	36982
599	55353	36902
600	55454	36815
601	55551	36726
602	55645	36635
603	55742	36546
604	55845	36461
605	55945	36374
606	56055	36292
607	56167	36213
608	56278	36132
609	56379	36045
610	56470	35952
611	56589	35877
612	56712	35803
613	56859	35745
614	57002	35684
615	57130	35613
616	57272	35551
617	57409	35485
618	57548	35421
619	57671	35346
620	57787	35268
621	57891	35181
622	58000	35098
623	58093	35004
624	58187	34912
625	58285	34822
626	58388	34734
627	58481	34641
628	58582	34553
629	58667	34455
630	58764	34364
631	58860	34273
632	58934	34169
633	59013	34067
634	59107	33975
635	59212	33889
636	59299	33792
637	59393	33699
638	59466	33595
639	59549	33496
640	59627	33394
641	59701	33291
642	59779	33190
643	59852	33086
644	59930	32984
645	59999	32878
646	60079	32779
647	60150	32674
648	60232	32575
649	60303	32471
650	60383	32371
651	60464	32272
652	60551	32176
653	60619	32070
654	60695	31969
655	60784	31874
656	60868	31777
657	60944	31676
658	61024	31576
659	61105	31478
660	61197	31385
661	61279	31287
662	61363	31190
663	61456	31098
664	61535	30999
665	61613	30899
666	61690	30798
667	61755	30692
668	61840	30596
669	61920	30498
670	62005	30401
671	62078	30300
672	62153	30199
673	62226	30097
674	62302	29997
675	62377	29896
676	62458	29799
677	62531	29697
678	62603	29596
679	62729	29519
680	62865	29447
681	63012	29381
682	63162	29315
683	63294	29241
684	63427	29167
685	63560	29093
686	63672	29009
687	63779	28923
688	63860	28825
689	63936	28725
690	64003	28620
691	64080	28521
692	64155	28421
693	64228	28319
694	64302	28219
695	64389	28124
696	64462	28023
697	64556	27931
698	64636	27833
699	64712	27734
700	64805	27641
701	64902	27551
702	64977	27451
703	65073	27360
704	65185	27276
705	65305	27195
706	65395	27101
707	65505	27016
708	65594	26922
709	65695	26833
710	65787	26740
711	65879	26647
712	65959	26550
713	66034	26450
714	66108	26350
715	66182	26251
716	66254	26150
717	66337	26054
718	66408	25953
719	66483	25854
720	66557	25755
721	66633	25656
722	66714	25560
723	66790	25461
724	66893	25373
725	66975	25277
726	67062	25182
727	67149	25088
728	67224	24990
729	67318	24898
730	67396	24800
731	67461	24699
732	67541	24602
733	67620	24505
734	67698	24408
735	67782	24313
736	67858	24215
737	67933	24117
738	68019	24023
739	68099	23926
740	68189	23833
741	68293	23746
742	68379	23652
743	68457	23555
744	68544	23461
745	68670	23381
746	68803	23302
747	68937	23224
748	69062	23143
749	69199	23066
750	69332	22987
751	69457	22906
752	69568	22819
753	69668	22730
754	69743	22632
755	69822	22535
756	69897	22437
757	69982	22342
758	70064	22247
759	70133	22147
760	70248	22062
761	70355	21974
762	70445	21881
763	70535	21788
764	70637	21698
765	70726	21605
766	70818	21513
767	70902	21418
768	70993	21325
769	71089	21234
770	71179	21141
771	71274	21049
772	71380	20961
773	71477	20870
774	71578	20780
775	71671	20688
776	71775	20599
777	71884	20512
778	71974	20418
779	72067	20326
780	72158	20233
781	72246	20140
782	72351	20051
783	72429	19955
784	72529	19864
785	72626	19773
786	72730	19684
787	72843	19597
788	72964	19512
789	73057	19420
790	73151	19328
791	73260	19240
792	73340	19144
793	73421	19048
794	73519	18957
795	73602	18863
796	73693	18770
797	73771	18674
798	73875	18584
799	73975	18493
800	74065	18400
801	74161	18309
802	74251	18216
803	74333	18121
804	74427	18029
805	74547	17943
806	74691	17863
807	74855	17787
808	74988	17704
809	75121	17621
810	75268	17540
811	75399	17456
812	75532	17373
813	75650	17286
814	75742	17193
815	75820	17096
816	75894	16999
817	75969	16902
818	76055	16808
819	76159	16717
820	76296	16634
821	76398	16543
822	76496	16451
823	76591	16359
824	76694	16268
825	76816	16181
826	76929	16092
827	77012	15997
828	77102	15904
829	77177	15807
830	77260	15712
831	77346	15618
832	77429	15523
833	77512	15428
834	77586	15331
835	77671	15236
836	77763	15143
837	77851	15050
838	77926	14953
839	78003	14857
840	78077	14761
841	78157	14666
842	78243	14572
843	78314	14475
844	78386	14378
845	78471	14284
846	78543	14187
847	78622	14092
848	78712	13999
849	78795	13905
850	78886	13812
851	78965	13717
852	79050	13623
853	79135	13529
854	79210	13433
855	79283	13337
856	79361	13242
857	79433	13146
858	79500	13049
859	79574	12953
860	79649	12858
861	79720	12762
862	79803	12668
863	79878	12573
864	79962	12479
865	80051	12386
866	80124	12291
867	80206	12197
868	80280	12102
869	80358	12007
870	80423	11911
871	80505	11817
872	80609	11726
873	80744	11640
874	80880	11554
875	81016	11468
876	81155	11382
877	81275	11293
878	81412	11206
879	81537	11118
880	81633	11026
881	81714	10932
882	81790	10837
883	81868	10742
884	81953	10649
885	82029	10554
886	82105	10459
887	82178	10364
888	82257	10270
889	82327	10175
890	82391	10079
891	82467	9984
892	82528	9888
893	82604	9794
894	82676	9699
895	82760	9606
896	82839	9512
897	82911	9417
898	82994	9324
899	83074	9230
900	83158	9137
901	83243	9044
902	83320	8950
903	83400	8856
904	83482	8763
905	83571	8670
906	83650	8577
907	83731	8483
908	83813	8390
909	83900	8297
910	83986	8205
911	84087	8113
912	84159	8019
913	84234	7925
914	84310	7832
915	84382	7738
916	84452	7644
917	84526	7550
918	84602	7456
919	84669	7362
920	84738	7268
921	84822	7175
922	84891	7081
923	84965	6988
924	85036	6894
925	85112	6801
926	85186	6708
927	85264	6615
928	85330	6521
929	85416	6429
930	85487	6335
931	85563	6242
932	85655	6151
933	85734	6058
934	85821	5966
935	85898	5873
936	85969	5780
937	86068	5688
938	86142	5596
939	86256	5505
940	86345	5413
941	86429	5321
942	86522	5229
943	86669	5141
944	86820	5053
945	86983	4965
946	87145	4877
947	87308	4789
948	87461	4700
949	87613	4611
950	87753	4521
951	87877	4430
952	87971	4338
953	88082	4247
954	88174	4154
955	88283	4063
956	88373	3970
957	88493	3879
958	88677	3791
959	88804	3700
960	88929	3609
961	89020	3516
962	89112	3423
963	89202	3331
964	89291	3238
965	89388	3146
966	89477	3053
967	89581	2961
968	89664	2868
969	89746	2775
970	89838	2683
971	89925	2590
972	90015	2497
973	90110	2405
974	90206	2312
975	90299	2220
976	90389	2127
977	90475	2035
978	90564	1942
979	90648	1849
980	90736	1757
981	90834	1664
982	90926	1572
983	91028	1480
984	91115	1387
985	91213	1295
986	91314	1202
987	91415	1110
988	91514	1017
989	91610	925
990	91691	832
991	91779	740
992	91855	647
993	91924	554
994	92005	462
995	92082	369
996	92163	277
997	92237	184
998	92310	92
999	92382	0
